timestamp,cpu_percent,memory_percent,process_count,network_connections,established_connections,disk_read_mb,disk_write_mb,unique_process_names
2026-08-30T12:07:39.245332,4.4,35.2,339,87,13,0.0,0.133,282
2026-08-30T12:07:43.272465,4.4,35.2,339,86,13,0.0,2.027,282
2026-08-30T12:07:47.301763,3.5,35.2,339,86,13,0.0,0.117,282
2026-08-30T12:07:51.332269,4.3,35.2,339,87,13,0.0,0.148,282
2026-08-30T12:07:55.359294,4.8,35.2,339,85,13,0.0,0.344,282
2026-08-30T12:07:59.379374,13.6,35.6,340,85,13,0.0,1.016,283
2026-08-30T12:08:03.411962,11.9,35.6,340,87,13,0.0,0.848,283
2026-08-30T12:08:07.445854,9.9,35.5,341,86,13,0.0,0.359,284
2026-08-30T12:08:11.482334,8.8,35.1,341,86,13,0.0,0.137,284
2026-08-30T12:08:15.504587,9.1,35.1,342,86,13,0.0,0.41,285
2026-08-30T12:08:19.534419,8.7,35.1,341,85,13,0.0,0.145,284
2026-08-30T12:08:23.578537,10.6,35.1,341,87,13,0.0,0.035,284
2026-08-30T12:08:27.613273,12.7,35.1,341,88,13,0.0,0.289,284
2026-08-30T12:08:31.647151,9.4,35.1,341,86,13,0.0,0.543,284
2026-08-30T12:08:35.678548,11.8,35.2,341,87,13,0.0,0.0,284
2026-08-30T12:08:39.712685,10.6,35.2,341,86,13,0.0,0.723,284
2026-08-30T12:08:43.752915,11.0,35.2,343,86,13,0.0,0.531,286
2026-08-30T12:08:47.784856,11.1,35.3,343,86,13,0.0,1.504,286
2026-08-30T12:08:51.822566,10.4,35.1,343,85,13,0.0,0.195,286
2026-08-30T12:08:55.855746,12.3,35.1,343,85,13,0.0,0.188,286
2026-08-30T12:08:59.887444,10.4,35.0,343,86,13,0.0,1.23,286
2026-08-30T12:09:03.920695,11.5,35.1,343,85,13,0.0,0.227,286
2026-08-30T12:09:07.953607,10.7,35.1,343,86,12,0.0,0.031,286
2026-08-30T12:09:11.985896,10.9,35.1,343,85,12,0.0,0.246,286
2026-08-30T12:09:16.020905,11.3,35.1,343,86,11,0.0,1.184,286
2026-08-30T12:09:20.043419,10.4,35.0,343,85,11,0.0,0.352,286
